Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
RBL 01.22.026,Sjrb 128 S7,Organoids,Sample 25,hGAPDH,19.161,0.870203006,-0.134,NM_8.22.54,SJRB 128 S7 (RBL) - PASSED,RBL 01.22.026,2022-11-28,PASSED
 ,,,Sample 25,mGapdh,22.019, , ,,,,,
RBL 01.23.026,Sjrb 128 S7 Post Thaw,Cells,Sample 31,hGAPDH,29.313,1.6068961736651681,1.282492641663785,NM_08.23.17,,,,
,,,Sample 31,mGapdh,18.242,,,,,,,
RBL 01.22.027,Sjrb 121 T,Tumor,Sample 20,hGAPDH,16.544,0.881829327,-0.112,NM_8.22.59,,,,
 ,,,Sample 20,mGapdh,18.761, , ,,,,,
RBL 01.22.027,Sjrb 121 S7,Organoids,Sample 21,hGAPDH,17.087,0.820464804,-0.23,NM_8.22.59,,,,
 ,,,Sample 21,mGapdh,20.826, , ,,,,,
RBL 01.22.027,Sjrb 121 P1,Cells,Sample 8,hGAPDH,26.001,1.274371416,0.643,NM_8.22.64,,,,
 ,,,Sample 8,mGapdh,20.403, , ,,,,,
RBL 01.22.029,Sjrb 169 T,Tumor,Sample 26,hGAPDH,19.242,0.977594879,0.072,NM_8.22.54,,,,
 ,,,Sample 26,mGapdh,19.683, , ,,,,,
RBL 01.22.029,Sjrb 169 S7,Organoids,Sample 27,hGAPDH,18.551,0.919960327,-0.039,NM_8.22.54,,,,
 ,,,Sample 27,mGapdh,20.165, , ,,,,,
RBL 01.22.030,Sjrb 169 T,Tumor,Sample 1,hGAPDH,19.993,0.909061974,-0.059,NM_8.23.08,,,,
 ,,,Sample 1,mGapdh,21.993, , ,,,,,
RBL 01.22.030,Sjrb 169 S7,Organoids,Sample 2,hGAPDH,20.138,0.890077348,-0.096,NM_8.23.08,SJRB 169 S7 (RBL) - PASSED,RBL 01.23.030 ,2023-02-09,PASSED
 ,,,Sample 2,mGapdh,22.625, , ,,,,,
RBL 01.23.030,Sjrb 169 P1,Cells,Sample 20,hGAPDH,21.15,1.117628408,0.342,NM_8.23.11,,,,
 ,,,Sample 20,mGapdh,18.924, , ,,,,,
RBL 01.22.031,Sjrb 186 T,Tumor,Sample 22,hGAPDH,15.874,0.782163094,-0.304,NM_8.22.59,,,,
 ,,,Sample 22,mGapdh,20.295, , ,,,,,
RBL 01.22.031,Sjrb 186 S7,Organoids,Sample 23,hGAPDH,17.154,0.777078143,-0.313,NM_8.22.59,,,,
 ,,,Sample 23,mGapdh,22.075, , ,,,,,
RBL 01.22.032,Sjrb 186 T,Tumor,Sample 9,hGAPDH,16.547,0.883401847,-0.109,NM_8.22.64,,,,
 ,,,Sample 9,mGapdh,18.731, , ,,,,,
RBL 01.22.032,Sjrb 186 S7,Organoids,Sample 10,hGAPDH,17.03,0.789083496,-0.29,NM_8.22.64,,,,
 ,,,Sample 10,mGapdh,21.582, , ,,,,,
RBL 01.22.032,Sjrb 186 P1,Cells,Sample 11,hGAPDH,17.349,0.918519695,-0.041,NM_8.22.64,,,,
 ,,,Sample 11,mGapdh,18.888, , ,,,,,
RBL 01.22.033,Sjrb 144 T,Tumor,Sample 12,hGAPDH,18.819,0.955715809,0.03,NM_8.22.64,,,,
 ,,,Sample 12,mGapdh,19.691, , ,,,,,
RBL 01.22.033,Sjrb 144 S7,Organoids,Sample 13,hGAPDH,17.402,0.813557737,-0.243,NM_8.22.64,SJRB 144 S7 (RBL) - PASSED,RBL 01.22.033,2023-01-10,PASSED
 ,,,Sample 13,mGapdh,21.39, , ,,,,,
RBL 01.22.033,Sjrb 144 P1,Cells,Sample 14,hGAPDH,19.919,1.182347005,0.466,NM_8.22.64,,,,
 ,,,Sample 14,mGapdh,16.847, , ,,,,,
RBL 01.22.035,Sjrb 158 T,Tumor,Sample 15,hGAPDH,16.905,0.953737659,0.026,NM_8.22.64,,,,
 ,,,Sample 15,mGapdh,17.725, , ,,,,,
RBL 01.22.035,Sjrb 158 S7,Organoids,Sample 16,hGAPDH,18.648,0.88262022,-0.11,NM_8.22.64,,,,
 ,,,Sample 16,mGapdh,21.128, , ,,,,,
RBL 01.23.037,Sjrb 136 T,Tumor,Sample 7,hGAPDH,18.769,0.874522412,-0.126,NM_8.23.08,,,,
 ,,,Sample 7,mGapdh,21.462, , ,,,,,
RBL 01.23.037,Sjrb 136 S7,Organoids,Sample 8,hGAPDH,19.313,0.832779958,-0.206,NM_8.23.08,SJRB 136 S7 (RBL) - PASSED,RBL 01.23.037 ,2023-02-09,PASSED
 ,,,Sample 8,mGapdh,23.191, , ,,,,,
RBL 01.23.038,Sjrb 136 T,Tumor,Sample 26,hGAPDH,18.225,0.894654165,-0.087,NM_8.23.11,,,,
 ,,,Sample 26,mGapdh,20.371, , ,,,,,
RBL 01.23.038,Sjrb 136 S7,Organoids,Sample 27,hGAPDH,19.061,0.847532237,-0.178,NM_8.23.11,,,,
 ,,,Sample 27,mGapdh,22.49, , ,,,,,
RBL 01.23.039,Sjrb 174 T,Tumor,Sample 3,hGAPDH,18.967,0.906471038,-0.064,NM_8.23.08,,,,
 ,,,Sample 3,mGapdh,20.924, , ,,,,,
RBL 01.23.039,Sjrb 174 S7,Organoids,Sample 4,hGAPDH,20.06,0.880210619,-0.115,NM_8.23.08,SJRB 174 S7 (RBL),RBL 01.23.039 ,2023-02-09,pending interpretation
 ,,,Sample 4,mGapdh,22.79, , ,,,,,
RBL 01.23.040,Srjb 174 T,Tumor,Sample 9,hGAPDH,19.301,0.896012256,-0.085,NM_8.23.08,,,,
 ,,,Sample 9,mGapdh,21.541, , ,,,,,
RBL 01.23.040,Sjrb 174 S7,Organoids,Sample 10,hGAPDH,20.487,0.888537104,-0.099,NM_8.23.08,SJRB 174 S7 (RBL),RBL 01.23.040 ,2023-02-09,pending interpretation
 ,,,Sample 10,mGapdh,23.057, , ,,,,,
RBL 01.23.040,Sjrb 174 S7 Post Thaw,Cells,Sample 33,hGAPDH,28.26,1.5401384271622431,1.1541123599273908,NM_08.23.17,,,,
,,,Sample 33,mGapdh,18.349,,,,,,,
RBL 01.23.041,Sjrb 175 T,Tumor,Sample 11,hGAPDH,19.554,0.939012678,-0.002,NM_8.23.08,,,,
 ,,,Sample 11,mGapdh,20.824, , ,,,,,
RBL 01.23.041,Sjrb 175 S7,Organoids,Sample 12,hGAPDH,20.363,0.836572039,-0.199,NM_8.23.08,,,,
 ,,,Sample 12,mGapdh,24.341, , ,,,,,
RBL 01.23.043,Sjrb 150 T,Tumor,Sample 5,hGAPDH,19.072,0.909923664,-0.058,NM_8.23.08,,,,
 ,,,Sample 5,mGapdh,20.96, , ,,,,,
RBL 01.23.043,Sjrb 150 S7,Organoids,Sample 6,hGAPDH,19.904,0.866710211,-0.141,NM_8.23.08,SJRB 150 S7 (RBL) - PASSED,RBL 01.23.043 ,2023-02-09,PASSED
 ,,,Sample 6,mGapdh,22.965, , ,,,,,
RBL 01.23.043,Sjrb 150 S7 Post Thaw,Cells,Sample 34,hGAPDH,27.684,1.570188871873405,1.211901676679625,NM_08.23.17,,,,
,,,Sample 34,mGapdh,17.631,,,,,,,
RBL 01.23.045,Sjrb 181 S7,Organoids,Sample 21,hGAPDH,19.471,0.860977228,-0.152,NM_8.23.11,SJRB 181 S7 (RBL),RBL 01.23.045 ,2023-02-09,pending interpretation
 ,,,Sample 21,mGapdh,22.615, , ,,,,,
RBL 01.23.045,Sjrb 181 S7 Post Thaw 3 Days,Cells,Sample 27,hGAPDH,25.58,1.2767019365142742,0.6475037240659121,NM_08.23.31,,,,
,,,Sample 27,mGapdh,20.036,,,,,,,
RBL 01.23.047,Sjrb 168 T,Tumor,Sample 22,hGAPDH,18.481,0.812673145,-0.245,NM_8.23.11,,,,
 ,,,Sample 22,mGapdh,22.741, , ,,,,,
RBL 01.23.047,Sjrb 168 S7,Organoids,Sample 23,hGAPDH,19.692,0.797021087,-0.275,NM_8.23.11,SJRB 168 S7 (RBL) - PASSED,RBL 01.23.047 ,2023-02-09,PASSED
 ,,,Sample 23,mGapdh,24.707, , ,,,,,
RBL 01.23.047,Sjrb 168 S7 Post Thaw 3 Days,Cells,Sample 17,hGAPDH,19.108,0.8845886764501644,-0.10656023759583765,NM_08.23.31,,,,
,,,Sample 17,mGapdh,21.601,,,,,,,
RBL 01.23.048,Sjrb 168 T,Tumor,Sample 25,hGAPDH,16.608,0.7963176064441887,-0.276312295299637,NM_08.23.17,,,,
,,,Sample 25,mGapdh,20.856,,,,,,,
RBL 01.23.048,Sjrb 168 S7,Organoids,Sample 26,hGAPDH,17.995,0.7717214169311262,-0.32361265974783415,NM_08.23.17,SJRB 168 S7 (RBL) - PASSED,RBL 01.23.048,2023-02-23,PASSED
,,,Sample 26,mGapdh,23.318,,,,,,,
RBL 01.23.048,Sjrb 168 P1,Cells,Sample 36,hGAPDH,18.46,0.8340863907464305,-0.20368001779532577,NM_08.23.20,,,,
,,,Sample 36,mGapdh,22.132,,,,,,,
RBL 01.23.048,Sjrb 168 S7 Post Thaw 3 Days,Cells,Sample 16,hGAPDH,19.564,0.9867850297589025,0.08997121107481255,NM_08.23.31,,,,
,,,Sample 16,mGapdh,19.826,,,,,,,
RBL 01.23.049,Sjrb 138 T,Tumor,Sample 28,hGAPDH,18.928,0.993647961,0.103,NM_8.23.11,,,,
 ,,,Sample 28,mGapdh,19.049, , ,,,,,
RBL 01.23.049,Sjrb 138 S7,Organoids,Sample 29,hGAPDH,18.881,0.872504621,-0.13,NM_8.23.11,SJRB 138 S7 (RBL) - PASSED,RBL 01.23.049 ,2023-02-09,PASSED
 ,,,Sample 29,mGapdh,21.64, , ,,,,,
RBL 01.23.051,Sjrb 128 T,Tumor,Sample 24,hGAPDH,18.408,0.879125078,-0.117,NM_8.23.11,,,,
 ,,,Sample 24,mGapdh,20.939, , ,,,,,
RBL 01.23.051,Sjrb 128 S7,Organoids,Sample 25,hGAPDH,19.257,0.814869668,-0.241,NM_8.23.11, SJRB 128 S7 (RBL) - PASSED,RBL 01.23.051,2023-02-09,PASSED
 ,,,Sample 25,mGapdh,23.632, , ,,,,,
RBL 01.23.051,Sjrb 128 P1,Cells,Sample 37,hGAPDH,20.945,1.0927065943238732,0.29366652754591005,NM_08.23.20,,,,
,,,Sample 37,mGapdh,19.168,,,,,,,
RBL 01.23.052,Sjrb 184 T,Tumor,Sample 34,hGAPDH,17.174,0.849441092,-0.174,NM_08.23.12,,,,
 ,,,Sample 34,mGapdh,20.218, , ,,,,,
RBL 01.23.052,Sjrb 184 S7,Orgnoids,Sample 35,hGAPDH,18.008,0.785243972,-0.298,NM_08.23.12,,,,
 ,,,Sample 35,mGapdh,22.933, , ,,,,,
RBL 01.23.052,Sjrb 184 P1,Cells,Sample 29,hGAPDH,19.313,1.0084590882982611,0.13165209288127153,NM_08.23.17,,,,
,,,Sample 29,mGapdh,19.151,,,,,,,
RBL 01.23.053,Sjrb 145 T,Tumor,Sample 32,hGAPDH,17.354,0.872191788,-0.13,NM_08.23.12,,,,
 ,,,Sample 32,mGapdh,19.897, , ,,,,,
RBL 01.23.053,Sjrb 145 S7,Orgnoids,Sample 33,hGAPDH,18.403,0.835247129,-0.201,NM_08.23.12,SJRB 145 S7 (RBL) - PASSED,RBL 01.23.053,2023-02-23,PASSED
 ,,,Sample 33,mGapdh,22.033, , ,,,,,
RBL 01.23.055,Sjrb 90 T,Tumor,Sample 21,hGAPDH,18.22,0.9244507585367091,-0.029902387429405465,NM_08.23.17,,,,
,,,Sample 21,mGapdh,19.709,,,,,,,
