Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
,,,Sample 17,mGapdh,24.015,,,,,,,
WT 01.23.019,Mast 456 S7,Organoids,Sample 18,hGAPDH,17.541,0.8223243167221416,-0.2262993909189584,NM_08.23.20,MAST 456 S7 (WT) - PASSED,WT 01.23.019,2023-01-24,PASSED
,,,Sample 18,mGapdh,21.331,,,,,,,
WT 01.23.020,Mast 456 T,Tumor,Sample 19,hGAPDH,17.889,0.7665509705617688,-0.3335558258427522,NM_08.23.20,,,,
,,,Sample 19,mGapdh,23.337,,,,,,,
WT 01.23.020,Mast 456 T Human,Cells,Sample 20,hGAPDH,16.511,0.5742557039510295,-0.7033544154787892,NM_08.23.20,MAST 456 S7 (WT) - PASSED,WT 01.23.020,2023-02-23,PASSED
,,,Sample 20,mGapdh,28.752,,,,,,,
WT 01.23.020,Mast 456 S7,Organoids,Sample 21,hGAPDH,17.179,0.5127753566951226,-0.8215858525093794,NM_08.23.20,,,,
,,,Sample 21,mGapdh,33.502,,,,,,,
WT 01.23.020,Mast 456 P1,Cells,Sample 22,hGAPDH,17.226,0.5030664096723322,-0.8402569044762841,NM_08.23.20,,,,
,,,Sample 22,mGapdh,34.242,,,,,,,
WT 01.23.020,Mast 456 S7 Post Thaw,Cells,Sample 13,hGAPDH,19.467,0.5836481381543442,-0.6852920420108763,NM_08.23.31,,,,
,,,Sample 13,mGapdh,33.354,,,,,,,
WT 01.23.020,Mast 456 P3,Cells,Sample 11,hGAPDH,17.734,0.534768711,-0.779,NM_08.23.33,,,,
 ,,,Sample 11,mGapdh,33.162, , ,,,,,
WT 01.23.021,Mast 253 T,Tumor,Sample 1,hGAPDH,17.549,0.8376610978520287,-0.19680558105379087,NM_08.23.24,,,,
,,,Sample 1,mGapdh,20.95,,,,,,,
WT 01.23.021,Mast 253 S7,Organoids,Sample 2,hGAPDH,17.966,0.5845453066536522,-0.6835667179737456,NM_08.23.24,MAST 253 S7 (WT) - PASSED,WT 01.23.021,2023-04-04,PASSED
,,,Sample 2,mGapdh,30.735,,,,,,,
WT 01.23.021,Mast 253 P1,Cells,Sample 3,hGAPDH,17.531,0.5649511778544036,-0.7212477348953775,NM_08.23.24,,,,
,,,Sample 3,mGapdh,31.031,,,,,,,
WT 01.23.021,Mast 253 S7 Post Thaw,Cells,Sample 12,hGAPDH,26.913,0.74694013488385,-0.3712689713772114,NM_08.23.31,,,,
,,,Sample 12,mGapdh,36.031,,,,,,,
WT 01.23.023,Mast 226 T,Tumor,Sample 4,hGAPDH,16.316,0.6698690314899207,-0.5194826317501523,NM_08.23.24,,,,
,,,Sample 4,mGapdh,24.357,,,,,,,
WT 01.23.023,Mast 226 T Human,Cells,Sample 5,hGAPDH,15.976,0.5307817535466295,-0.7869581662564816,NM_08.23.24,,,,
,,,Sample 5,mGapdh,30.099,,,,,,,
WT 01.23.023,Mast 226 S7,Organoids,Sample 6,hGAPDH,19.165,0.5936009415845876,-0.6661520354142544,NM_08.23.24,MAST 226 S7 (WT) - PASSED,WT 01.23.023,2023-04-04,PASSED
,,,Sample 6,mGapdh,32.286,,,,,,,
WT 01.23.023,Mast 226 P1,Cells,Sample 7,hGAPDH,16.575,0.49667385832434374,-0.8525502724531849,NM_08.23.24,,,,
,,,Sample 7,mGapdh,33.372,,,,,,,
WT 01.23.023,Mast 226 S7 Post Thaw,Cells,Sample 11,hGAPDH,23.646,0.6556858830380168,-0.546757917234583,NM_08.23.31,,,,
,,,Sample 11,mGapdh,36.063,,,,,,,
WT 01.23.024,Mast 226 T,Tumor,Sample 1,hGAPDH,17.67,0.743155149934811,-0.37854778858690175,NM_08.23.28,,,,
,,,Sample 1,mGapdh,23.777,,,,,,,
WT 01.23.024,Mast 226 T Human,Cells,Sample 2,hGAPDH,16.396,0.5089396573131363,-0.8289621974747378,NM_08.23.28,,,,
,,,Sample 2,mGapdh,32.216,,,,,,,
WT 01.23.024,Mast 226 S7,Organoids,Sample 3,hGAPDH,20.554,0.6624339306432899,-0.5337809026090578,NM_08.23.28,,,,
,,,Sample 3,mGapdh,31.028,,,,,,,
WT 01.23.024,Mast 226 P1,Cells,Sample 4,hGAPDH,18.03,0.5739844645358462,-0.7038760297387572,NM_08.23.28,,,,
,,,Sample 4,mGapdh,31.412,,,,,,,
WT 01.23.024,Mast 226 S7 Post Thaw,Cells,Sample 10,hGAPDH,23.185,0.6696995956094743,-0.51980846998178,NM_08.23.31,,,,
,,,Sample 10,mGapdh,34.62,,,,,,,
WT 01.23.025,Mast 655 T,Tumor,Sample 5,hGAPDH,17.409,0.770855472901169,-0.3252779367285211,NM_08.23.28,,,,
,,,Sample 5,mGapdh,22.584,,,,,,,
