Experiment #,Sample Name,Type,Sample,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
SAMPLE 7,,,mGapdh, , , ,,,,,
SAMPLE 8,Mast 161 P1 (G),Rms 01.21.004,hGAPDH,0.69,-0.4798, ,,,,,
SAMPLE 8,,,mGapdh, , , ,,,,,
SAMPLE 9,Mast 213F S7 (Bf),Rms 01.21.036,hGAPDH,0.6,-0.6573, ,,,,,
SAMPLE 9,,,mGapdh, , , ,,,,,
SAMPLE 10,Mast 213F P1 (Bf),Rms 01.21.036,hGAPDH,0.54,-0.7622, ,,,,,
SAMPLE 10,,,mGapdh, , , ,,,,,
SAMPLE 11,Mast 213H S7 (Gf),Rms 01.21.021,hGAPDH,0.66,-0.5406, ,,,,,
SAMPLE 11,,,mGapdh, , , ,,,,,
SAMPLE 12,Mast 213H P1 (Gf),Rms 01.21.111,hGAPDH,0.58,-0.6848, ,,,,,
SAMPLE 12,,,mGapdh, , , ,,,,,
SAMPLE 13,Mast 527 S7 (B),Rms 01.21.012,hGAPDH,0.78,-0.3018, ,,,,,
SAMPLE 13,,,mGapdh, , , ,,,,,
SAMPLE 14,Mast 527 P1 (B),Rms 01.21.012,hGAPDH,0.73,-0.4134, ,,,,,
SAMPLE 14,,,mGapdh, , , ,,,,,
SAMPLE 15,Mast 545 S7 (Gf),Rms 01.21.086,hGAPDH,0.8,-0.2622, ,,,,,
SAMPLE 15,,,mGapdh, , , ,,,,,
SAMPLE 16,Mast 545 P1 (Gf),Rms 01.21.086,hGAPDH,0.81,-0.246, ,,,,,
SAMPLE 16,,,mGapdh, , , ,,,,,
,Sample,Nm_8.22.2,Target Name,human/mouse ratio (Ct),% mouse contamination,,,,,,
RMS008,Mast 111 T,1,hGAPDH,0.76,-0.345,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 111 P1 (B),3,hGAPDH,0.56,-0.735,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 111 P2 (B),4,hGAPDH,0.51,-0.835,,,,,,
,,,mGapdh, , ,,,,,,
RMS 015,Mast 139 T,5,hGAPDH,0.72,-0.428,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 139 S7 (B),6,hGAPDH,0.55,-0.749,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 139 P1 (B),7,hGAPDH,0.44,-0.961,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 139 P2 (B),8,hGAPDH,0.44,-0.963,,,,,,
,,,mGapdh, , ,,,,,,
RMS029,Mast 60 T,9,hGAPDH,0.7,-0.455,,,,,,
,,,mGapdh, , ,,,,,,
,Mast 60 S7 (Gf),10,hGAPDH,0.71,-0.441,,,,,,
