Experiment #,Sample Name,Type,Sample,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp #,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
EWS 01.23.019,Mast 297B P1,Cells,Sample 3,hGAPDH,16.579,0.558159109,-0.734,NM_8.23.11,MAST 297B p1 (EWS) - PASSED,EWS 01.23.019 ,2023-02-09 00:00:00,PASSED
 ,,,Sample 3,mGapdh,29.703, , ,,,,,
EWS 01.22.019,Mast 297B P3T,Tumor,Sample 18,hGAPDH,16.692,0.7428240843754172,-0.37918445312419746,NM_08.23.28,,,,
,,,Sample 18,mGapdh,22.471,,,,,,,
EWS 01.23.021,Mast 358A T,Tumor,Sample 4,hGAPDH,15.99,0.759511709,-0.347,NM_8.23.11,,,,
 ,,,Sample 4,mGapdh,21.053, , ,,,,,
EWS 01.23.021,Mast 358A S7,Organoids,Sample 5,hGAPDH,16.302,0.804163378,-0.261,NM_8.23.11,MAST 358A S7 (EWS) - PASSED,EWS 01.23.021 ,2023-02-09 00:00:00,PASSED
 ,,,Sample 5,mGapdh,20.272, , ,,,,,
EWS 01.23.021,Mast 358A P1,Cells,Sample 6,hGAPDH,16.894,0.687027247,-0.486,NM_8.23.11,MAST 358A p1 (EWS) - PASSED,EWS 01.23.021 ,2023-02-23 00:00:00,PASSED
 ,,,Sample 6,mGapdh,24.59, , ,,,,,
EWS 01.23.021,Mast 358A S7P3T,Tumor,Sample 13,hGAPDH,17.145,0.854472963,-0.164,NM_08.23.33,,,,
 ,,,Sample 13,mGapdh,20.065, , ,,,,,
EWS 01.23.023,Mast 623D T,Tumor,,,,,,,,,,
EWS 01.23.023,Mast 623D S7,Organoid,,,,,,,,,,
EWS 01.23.023,Mast 623D P1,Cells,,,,,,,MAST 623D p1 (EWS) - PASSED,EWS 01.23.023,2023-05-10 00:00:00,PASSED
EWS 01.23.024,Mast 659B T,Tumor,,,,,,,,,,
EWS 01.23.024,Mast 659B S7,Organoid,,,,,,,,,,
EWS 01.23.024,Mast 659B P1,Cells,,,,,,,,,,
