Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
OST 01.22.015,MAST 597 T,Tumor,Sample 11,hGAPDH,17.59,0.8402598643355307,-0.19180795320090244,NM_08.22.24,BM,MAST 597 - T,OST 01.22.015,2022-07-11,PASSED
,,,Sample 11,mGapdh,20.934,,,,,,,,
OST 01.22.015,MAST 597 S7,Organoids,Sample 12,hGAPDH,19.138,1.1050929668552951,0.3174864747217215,NM_08.22.24,,,,,
,,,Sample 12,mGapdh,17.318,,,,,,,,
OST 01.22.015,MAST 597 p1,Cells,Sample 4,hGAPDH,19.844,1.101954687,0.311,NM_8.22.35,,MAST 597 p1 (OS),OST 01.22.015,2022-08-24,PASSED
,,,Sample 4,mGapdh,18.008, , ,,,,,,
OST 01.22.016,MAST 597 S7,Organoids,Sample 5,hGAPDH,19.929,0.715506409,-0.432,NM_8.22.35,,,,,
,,,Sample 5,mGapdh,27.853, , ,,,,,,
OST 01.22.017,MAST 229 T,Tumor,Sample 13,hGAPDH,19.62,1.0016847909327615,0.11862459794761841,NM_08.22.24,BM,,,,
,,,Sample 13,mGapdh,19.587,,,,,,,,
OST 01.22.017,MAST 229 S7,Organoids,Sample 14,hGAPDH,20.832,1.1220510610793926,0.3500981943834473,NM_08.22.24,,MAST 229 S7 (OS),OST 01.22.017,2022-07-11,PASSED
,,,Sample 14,mGapdh,18.566,,,,,,,,
OST 01.22.017,MAST 229 p1,Cells,Sample 6,hGAPDH,23.895,1.40807307,0.9,NM_8.22.35,,,,,
,,,Sample 6,mGapdh,16.97, , ,,,,,,
OST 01.22.018,MAST 229 T,Tumor,Sample 8,hGAPDH,17.837,0.851083119,-0.171,NM_8.22.53,,MAST 229 - T - PASSED,OST 01.22.018,2022-10-25,PASSED
 , ,,Sample 8,mGapdh,20.958, , ,,,,,,
OST 01.22.018,MAST 229 S7 Unt,Organoids,Sample 9,hGAPDH,18.461,0.845942354,-0.181,NM_8.22.53,,MAST 229 S7 untreated (OS) - PASSED,OST 01.22.018,2022-12-12,PASSED
 , ,,Sample 9,mGapdh,21.823, , ,,,,,,
OST 01.22.018,MAST 229 S7 Human,Organoids,Sample 10,hGAPDH,18.78,0.648906396,-0.56,NM_8.22.53,,MAST 229 S7 depleted (OS) - PASSED,OST 01.22.018,2022-12-12,PASSED
 , ,,Sample 10,mGapdh,28.941, , ,,,,,,
OST 01.22.018,MAST 229 p1 Unt,Cells,Sample 11,hGAPDH,18.98,1.035348025,0.183,NM_8.22.53,,,,,
 , ,,Sample 11,mGapdh,18.332, , ,,,,,,
OST 01.22.018,MAST 229 p1 Human,Cells,Sample 12,hGAPDH,18.891,0.720975498,-0.421,NM_8.22.53,,,,,
 , ,,Sample 12,mGapdh,26.202, , ,,,,,,
OST 01.22.019,MAST 389 T,Tumor,Sample 15,hGAPDH,17.112,0.7781365103906143,-0.3112759415565109,NM_08.22.24,BM,,,,
,,,Sample 15,mGapdh,21.991,,,,,,,,
OST 01.22.019,MAST 389 S7,Organoids,Sample 7,hGAPDH,19.91,0.95290514,0.025,NM_8.22.35,,MAST 389 S7 (OS) ,OST 01.22.019,2022-07-11,PASSED
,,,Sample 7,mGapdh,20.894, , ,,,,,,
OST 01.22.019,MAST 389 S7p3T,Tumor,Sample 18,hGAPDH,16.688,0.75607104,-0.354,NM_8.23.02,,MAST 389 S7P3T (OS) - PASSED [BM injection],OST 01.22.019,2023-01-10,PASSED
 , ,,Sample 18,mGapdh,22.072, , ,,,,,,
OST 01.22.020,MAST 389 T,Tumor,Sample 8,hGAPDH,17.601,0.849756192,-0.174,NM_8.22.35,,,,,
,,,Sample 8,mGapdh,20.713, , ,,,,,,
OST 01.22.020,MAST 389 S7,Organoids,Sample 9,hGAPDH,19.211,1.051275036,0.214,NM_8.22.35,,MAST 389 S7 (OS),OST 01.22.020,2022-08-24,PASSED
,,,Sample 9,mGapdh,18.274, , ,,,,,,
OST 01.22.020,MAST 389 p1,Cells,Sample 10,hGAPDH,26.578,1.569783238,1.211,NM_8.22.35,,,,,
,,,Sample 10,mGapdh,16.931, , ,,,,,,
3D2D_OST 01.22.023,MAST 492A-T,Tumor Cells,Sample 19,hGAPDH,20.946,0.8671496584558063,-0.1400968106619109,NM_8.22.30,BM**,,,,
,,,Sample 19,mGapdh,24.155,,,,"Tumor was 
next to femur",,,,
OST 01.22.023,MAST 492A S7 SkOS,Spheroids,Sample 30,hGAPDH,19.96,0.8401734225701898,-0.19197418736501953,NM_8.22.30,,,,,
,,,Sample 30,mGapdh,23.757,,,,,,,,
OST 01.22.023,MAST 492A S7 OS3 (+) Dexa,Spheroids,Sample 29,hGAPDH,19.611,0.7543562718775244,-0.3570071694662991,NM_8.22.30,,,,,
,,,Sample 29,mGapdh,25.997,,,,,,,,
OST 01.22.023,MAST 492A S7 OS3 (-) Dexa,Spheroids,Sample 28,hGAPDH,19.715,0.7712016898763887,-0.32461213485309853,NM_8.22.30,,MAST 492A S7 (OS3-dexa),OST 01.22.023,2022-08-24,PASSED
,,,Sample 28,mGapdh,25.564,,,,,,,,
OST 01.22.023,MAST 492A p1 (+DEXA),Cells,Sample 11,hGAPDH,18.992,0.799932609,-0.269,NM_8.22.35,,,,,
,,,Sample 11,mGapdh,23.742, , ,,,,,,
OST 01.22.024,MAST 492A T,Tumor,Sample 11,hGAPDH,16.882,0.814689702,-0.241,NM_8.22.59,,,,,
 , ,,Sample 11,mGapdh,20.722, , ,,,,,,
OST 01.22.024,MAST 492A S7,Organoids,Sample 12,hGAPDH,16.097,0.796329277,-0.276,NM_8.22.59,,,,,
 , ,,Sample 12,mGapdh,20.214, , ,,,,,,
OST 01.22.024,MAST 492A p1 (OS3),Cells,Sample 13,hGAPDH,24.541,1.449300183,0.979,NM_8.22.59,,,,,
 , ,,Sample 13,mGapdh,16.933, , ,,,,,,
OST 01.22.025 ,MAST 459A T ,Tumor,Sample 4,hGAPDH,17.57,0.844143365,-0.184,NM_8.22.38,,,,,
 , ,,Sample 4,mGapdh,20.814, , ,,,,,,
OST 01.22.025 ,MAST 459A S7 ,Spheroid,Sample 5,hGAPDH,16.968,0.851508004,-0.17,NM_8.22.38,,MAST 459A S7 (OS) - PASSED,OST 01.22.025,2022-12-12,PASSED
 , ,,Sample 5,mGapdh,19.927, , ,,,,,,
OST 01.22.025 ,MAST 459A P1 ,Cells,Sample 6,hGAPDH,20.701,1.223825007,0.546,NM_8.22.38,,MAST 459A p1 (OS) - PASSED,OST 01.22.025,2022-09-21,PASSED
 , ,,Sample 6,mGapdh,16.915, , ,,,"MAST 459A p3 (OS) - FAILED
Will resubmit to confirm",OST 01.22.025,2022-10-25,FAILED
OST 01.22.026,MAST 459A T,Tumor,Sample 7,hGAPDH,17.661,0.849494949,-0.174,NM_8.22.48,,,,,Will resubmit to confirm
 , ,,Sample 7,mGapdh,20.79, , ,,,,,,
OST 01.22.026,MAST 459A S7,Organoids,Sample 8,hGAPDH,17.536,0.878821289,-0.118,NM_8.22.48,,MAST 459A S7 (OS) - PASSED,OST 01.22.026,2022-10-05,PASSED
 , ,,Sample 8,mGapdh,19.954, , ,,,,,,
OST 01.22.026,MAST 459A p1,Cells,Sample 9,hGAPDH,17.962,1.001840593,0.119,NM_8.22.48,,,,,
 , ,,Sample 9,mGapdh,17.929, , ,,,,,,
