Experiment #,Sample,Type,Sample Name,Target Name,Mean Equivalent Cq,Human/Mouse Ratio (Ct),Mouse Contamination,Nm Exp#,Injection Method,Sample Name_2,Exp#,Ppx Submission Date,Ppx Result
,,,Sample 12,mGapdh,18.318,,,,,,,,
OST 01.23.099,MAST 459D T,Tumor,Sample 17,hGAPDH,16.424,0.735413961402409,-0.3934346896107518,NM_08.23.32,,,,,
,,,Sample 17,mGapdh,22.333,,,,,,,,
OST 01.23.099,MAST 459D T human,Cells,Sample 18,hGAPDH,16.255,0.5993510563769773,-0.6550941223519666,NM_08.23.32,,,,,
,,,Sample 18,mGapdh,27.121,,,,,,,,
OST 01.23.099,MAST 459D S7,Organoids,Sample 19,hGAPDH,17.464,0.6787143912012746,-0.5024723246129332,NM_08.23.32,,"MAST 459D S7 (OS3) - FAILED
Sample has multiple tri-alleles at different loci. Need to check with Brittney about this.",OST 01.23.099,2023-05-10,PASSED
,,,Sample 19,mGapdh,25.731,,,,,,,,
OST 01.23.100,MAST 459D T,Tumor,Sample 10,hGAPDH,16.841,0.780832715,-0.306,NM_08.23.40,,,,,
 , ,,Sample 10,mGapdh,21.568, , ,,,,,,
OST 01.23.100,MAST 459D T human,Cells,Sample 11,hGAPDH,15.455,0.54374978,-0.762,NM_08.23.40,,,,,
 , ,,Sample 11,mGapdh,28.423, , ,,,,,,
OST 01.23.100,MAST 549D S7,Organoids,Sample 12,hGAPDH,17.955,0.596571087,-0.66,NM_08.23.40,,,,,
 , ,,Sample 12,mGapdh,30.097, , ,,,,,,
OST 01.23.101,MAST 115 T,Tumor,Sample 20,hGAPDH,19.146,0.8505930960948954,-0.17193635366366256,NM_08.23.32,,,,,
,,,Sample 20,mGapdh,22.509,,,,,,,,
OST 01.23.101,MAST 115 T human,Cells,Sample 21,hGAPDH,24.088,0.9548878141599937,0.028630411846141807,NM_08.23.32,,,,,
,,,Sample 21,mGapdh,25.226,,,,,,,,
OST 01.23.101,MAST 115 S7,Organoids,Sample 22,hGAPDH,34.14,1.6092387461701627,1.2869975887887746,NM_08.23.32,,,,,
,,,Sample 22,mGapdh,21.215,,,,,,,,
OST 01.23.103,OS 39 T,Tumor,Sample 10,hGAPDH,18.906,0.9138631090487239,-0.05026325182937697,NM_08.23.38,,,,,
,,,Sample 10,mGapdh,20.688,,,,,,,,
OST 01.23.103,OS 39 T human,Cells,Sample 11,hGAPDH,18.099,0.6971074221006818,-0.4671011113448426,NM_08.23.38,,,,,
,,,Sample 11,mGapdh,25.963,,,,,,,,
OST 01.23.103,OS 39 S7,Organoids,Sample 12,hGAPDH,18.146,0.6415868189371707,-0.5738715020439024,NM_08.23.38,,,,,
,,,Sample 12,mGapdh,28.283,,,,,,,,
OST 01.23.103,OS 39 p1,Cells,Sample 13,hGAPDH,18.789,0.6159318144566465,-0.6232080491218336,NM_08.23.38,,,,,
,,,Sample 13,mGapdh,30.505,,,,,,,,
OST 01.23.105,MAST 597 T,Tumor,Sample 14,hGAPDH,16.411,0.721711597,-0.42,NM_08.23.40,,,,,
 , ,,Sample 14,mGapdh,22.739, , ,,,,,,
OST 01.23.105,MAST 597 T human,Cells,Sample 15,hGAPDH,15.633,0.575165563,-0.702,NM_08.23.40,,,,,
 , ,,Sample 15,mGapdh,27.18, , ,,,,,,
OST 01.23.105,MAST 597 S7,Organoids,Sample 16,hGAPDH,16.59,0.613807903,-0.627,NM_08.23.40,,,,,
 , ,,Sample 16,mGapdh,27.028, , ,,,,,,
OST 01.23.105,MAST 597 p1,Cells,Sample 17,hGAPDH,15.876,0.733505821,-0.397,NM_08.23.40,,,,,
 , ,,Sample 17,mGapdh,21.644, , ,,,,,,
