lab_id_number,date_ordered,sample_name,ordered_by,notebook_page_number,srm_order_number,srm_sample_number,assay,tissue,tumor_type,species,failed,notes,extra_unnamed_col1,source_file,source_sheet
DY2541,45642,MAST 243B_1.4 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251678,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2542,45642,MAST 705C_1.4 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251679,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2543,45642,MAST 423_1.5 LUC+,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251680,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DY2544,45642,MAST 970_1.2 YFP,Natalie Geiger,NM_9.24.09 Batch Validation #4 re-submission,841854,3251681,Powerplex,PDX,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2545,45642,SJ1041CCLF 01.24.003,Melody Allensworth,SJ1041CCLF 01.24.003,841877,3251768,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2546,45642,SJ1052 CCLF 01.24.007,Melody Allensworth,SJ1052 CCLF 01.24.007,841877,3251769,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2547,45642,SJ1036 CCLF 01.24.010,Melody Allensworth,SJ1036 CCLF 01.24.010,841877,3251770,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2548,45642,SJ1047 CCLF 01.24.005,Melody Allensworth,SJ1047 CCLF 01.24.005,841877,3251771,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2549,45642,SJ1005 CCLF 01.24.009,Melody Allensworth,SJ1005 CCLF 01.24.009,841877,3251772,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2550,45642,SJ1055 CCLF 01.24.008,Melody Allensworth,SJ1055 CCLF 01.24.008,841877,3251773,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2551,45642,SJ1039 CCLF 01.24.004,Melody Allensworth,SJ1039 CCLF 01.24.004,841877,3251774,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
DYE2552,45642,SJ1040 CCLF 01.24.006,Melody Allensworth,SJ1040 CCLF 01.24.006,841877,3251775,10x scRNAseq,cells,NA,NA,NA,NA,NA,HARTWELL_database_Master_2025_2026.xlsx,Sheet1
